Time,Labeling
150.9333,1.898491
150.95,1.898491
150.9667,1.898491
150.9833,1.898491
151,1.898491
151.0167,1.898491
151.0333,1.898491
151.05,1.898491
151.0667,1.898491
151.0833,1.898491
151.1,1.898491
151.1167,1.898491
151.1333,1.898491
151.15,1.898491
151.1667,1.898491
151.1833,1.898491
151.2,1.898491
151.2167,1.898491
151.2333,1.898491
151.25,1.898491
151.2667,1.898491
151.2833,1.898491
151.3,1.898491
151.3167,1.898491
151.3333,1.898491
151.35,1.898491
151.3667,1.898491
151.3833,1.898491
151.4,1.898491
151.4167,1.898491
151.4333,1.898491
151.45,1.898491
151.4667,1.898491
151.4833,1.898491
151.5,1.898491
151.5167,1.898491
151.5333,1.898491
151.55,1.898491
151.5667,1.898491
151.5833,1.898491
151.6,1.898491
151.6167,1.898491
151.6333,1.898491
151.65,1.898491
151.6667,1.898491
151.6833,1.898491
151.7,1.898491
151.7167,1.898491
151.7333,1.898491
151.75,1.898491
151.7667,1.898491
151.7833,1.898491
151.8,1.898491
151.8167,1.898491
151.8333,1.898491
151.85,1.898491
151.8667,1.898491
151.8833,1.898491
151.9,1.898491
151.9167,1.898491
151.9333,1.898491
151.95,1.898491
151.9667,1.898491
151.9833,1.898491
152,1.898491
152.0167,1.898491
152.0333,1.898491
152.05,1.898491
152.0667,1.898491
152.0833,1.898491
152.1,1.898491
152.1167,1.898491
152.1333,1.898491
152.15,1.898491
152.1667,1.898491
152.1833,1.898491
152.2,1.898491
152.2167,1.898491
152.2333,1.898491
152.25,1.898491
152.2667,1.898491
152.2833,1.898491
152.3,1.898491
152.3167,1.898491
152.3333,1.898491
152.35,1.898491
152.3667,1.898491
152.3833,1.898491
152.4,1.898491
152.4167,1.898491
152.4333,1.898491
152.45,1.898491
152.4667,1.898491
152.4833,1.898491
152.5,1.898491
152.5167,1.898491
152.5333,1.898491
152.55,1.898491
152.5667,1.898491
152.5833,1.898491
152.6,1.898491
152.6167,1.898491
152.6333,1.898491
152.65,1.898491
152.6667,1.898491
152.6833,1.898491
152.7,1.898491
152.7167,1.898491
152.7333,1.898491
152.75,1.898491
152.7667,1.898491
152.7833,1.898491
152.8,1.898491
152.8167,1.898491
152.8333,1.898491
152.85,1.898491
152.8667,1.898491
152.8833,1.898491
152.9,1.898491
152.9167,1.898491
152.9333,1.898491
152.95,1.898491
152.9667,1.898491
152.9833,1.898491
153,1.898491
153.0167,1.898491
153.0333,1.898491
153.05,1.898491
153.0667,1.898491
153.0833,1.898491
153.1,1.898491
153.1167,1.898491
153.1333,1.898491
153.15,1.898491
153.1667,1.898491
153.1833,1.898491
153.2,1.898491
153.2167,1.898491
153.2333,1.898491
153.25,1.898491
153.2667,1.898491
153.2833,1.898491
153.3,1.898491
153.3167,1.898491
153.3333,1.898491
153.35,1.898491
153.3667,1.898491
153.3833,1.898491
153.4,1.898491
153.4167,1.898491
153.4333,1.898491
153.45,1.898491
153.4667,1.898491
153.4833,1.898491
153.5,1.898491
153.5167,1.898491
153.5333,1.898491
153.55,1.898491
153.5667,1.898491
153.5833,1.898491
153.6,1.898491
153.6167,1.898491
153.6333,1.898491
153.65,1.898491
153.6667,1.898491
153.6833,1.898491
153.7,1.898491
153.7167,1.898491
153.7333,1.898491
153.75,1.898491
153.7667,1.898491
153.7833,1.898491
153.8,1.898491
153.8167,1.898491
153.8333,1.898491
153.85,1.898491
153.8667,1.898491
153.8833,1.898491
153.9,1.898491
153.9167,1.898491
153.9333,1.898491
153.95,1.898491
153.9667,1.898491
153.9833,1.898491
154,1.898491
154.0167,1.898491
154.0333,1.898491
154.05,1.898491
154.0667,1.898491
154.0833,1.898491
154.1,1.898491
154.1167,1.898491
154.1333,1.898491
154.15,1.898491
154.1667,1.898491
154.1833,1.898491
154.2,1.898491
154.2167,1.898491
154.2333,1.898491
154.25,1.898491
154.2667,1.898491
154.2833,1.898491
154.3,1.898491
154.3167,1.898491
154.3333,1.898491
154.35,1.898491
154.3667,1.898491
154.3833,1.898491
154.4,1.898491
154.4167,1.898491
154.4333,1.898491
154.45,1.898491
154.4667,1.898491
154.4833,1.898491
154.5,1.898491
154.5167,1.898491
154.5333,1.898491
154.55,1.898491
154.5667,1.898491
154.5833,1.898491
154.6,1.898491
154.6167,1.898491
154.6333,1.898491
154.65,1.898491
154.6667,1.898491
154.6833,1.898491
154.7,1.898491
154.7167,1.898491
154.7333,1.898491
154.75,1.898491
154.7667,1.898491
154.7833,1.898491
154.8,1.898491
154.8167,1.898491
154.8333,1.898491
154.85,1.898491
154.8667,1.898491
154.8833,1.898491
154.9,1.898491
154.9167,1.898491
154.9333,1.898491
154.95,1.898491
154.9667,1.898491
154.9833,1.898491
155,1.898491
155.0167,1.898491
155.0333,1.898491
155.05,1.898491
155.0667,1.898491
155.0833,1.898491
155.1,1.898491
155.1167,1.898491
155.1333,1.898491
155.15,1.898491
155.1667,1.898491
155.1833,1.898491
155.2,1.898491
155.2167,1.898491
155.2333,1.898491
155.25,1.898491
155.2667,1.898491
155.2833,1.898491
155.3,1.898491
155.3167,1.898491
155.3333,1.898491
155.35,1.898491
155.3667,1.898491
155.3833,1.898491
155.4,1.898491
155.4167,1.898491
155.4333,1.898491
155.45,1.898491
155.4667,1.898491
155.4833,1.898491
155.5,1.898491
155.5167,1.898491
155.5333,1.898491
155.55,1.898491
155.5667,1.898491
155.5833,1.898491
155.6,1.898491
155.6167,1.898491
155.6333,1.898491
155.65,1.898491
155.6667,1.898491
155.6833,1.898491
155.7,1.898491
155.7167,1.898491
155.7333,1.898491
155.75,1.898491
155.7667,1.898491
155.7833,1.898491
155.8,1.898491
155.8167,1.898491
155.8333,1.898491
155.85,1.898491
155.8667,1.898491
155.8833,1.898491
155.9,1.898491
155.9167,1.898491
155.9333,1.898491
155.95,1.898491
